Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
9.472222222,1015.13,0.89,14.1197
9.355555556,1015.63,0.86,14.2646
9.377777778,1015.94,0.89,3.9284
8.288888889,1016.41,0.83,14.1036
8.755555556,1016.51,0.83,11.0446
9.222222222,1016.66,0.85,13.9587
7.733333333,1016.72,0.95,12.3648
8.772222222,1016.84,0.89,14.1519
10.82222222,1017.37,0.82,11.3183
13.77222222,1017.22,0.72,12.5258
16.01666667,1017.42,0.67,17.5651
17.14444444,1017.74,0.54,19.7869
17.8,1017.59,0.55,21.9443
17.33333333,1017.48,0.51,20.6885
18.87777778,1017.17,0.47,15.3755
18.91111111,1016.47,0.46,10.4006
15.38888889,1016.15,0.6,14.4095
15.55,1016.17,0.63,11.1573
14.25555556,1015.82,0.69,8.5169
13.14444444,1015.83,0.7,7.6314
11.55,1015.85,0.77,7.3899
11.18333333,1015.77,0.76,4.9266
10.11666667,1015.4,0.79,6.6493
10.2,1015.51,0.77,3.9284
10.42222222,1014.4,0.62,16.9855
9.911111111,1014.2,0.66,17.2109
11.18333333,1008.71,0.8,10.8192
7.155555556,1014.47,0.79,11.0768
6.111111111,1014.45,0.82,6.6493
6.788888889,1014.49,0.83,13.0088
7.261111111,1014.52,0.85,11.1734
7.8,1014.16,0.83,12.8156
9.872222222,1014.24,0.78,13.7494
12.22222222,1014.25,0.72,15.6331
15.09444444,1013.96,0.61,17.549
17.35555556,1013.85,0.52,22.7815
19.00555556,1013.04,0.46,23.8924
20.04444444,1012.22,0.4,28.3682
21.05,1011.44,0.4,26.9031
21.18333333,1010.52,0.37,25.6956
20.11666667,1009.83,0.4,25.3092
20.21666667,1009.26,0.36,18.1125
20,1008.76,0.43,23.4255
17.8,1008.36,0.5,20.0445
16.06111111,1008.11,0.53,21.3969
15.02222222,1008.15,0.55,21.3808
14.42222222,1007.85,0.58,20.0123
14.25555556,1007.89,0.59,16.5025
13.77222222,1007.36,0.6,17.0982
13.28333333,1007.26,0.63,14.3612
8.633333333,1005.1,0.87,22.0409
11.25,1007.01,0.83,11.3344
11.18333333,1006.73,0.89,11.2056
10.69444444,1006.59,0.95,10.4006
11.11111111,1006.34,0.93,12.0106
11.11111111,1006.09,0.93,9.2092
12.16666667,1005.97,0.82,9.9015
12.75555556,1005.63,0.79,13.8299
13.83888889,1005.83,0.84,9.0965
16.18333333,1005.97,0.73,0.644
17.51666667,1005.64,0.67,0.6762
17.38333333,1005.2,0.67,3.864
17.36111111,1005.1,0.71,7.8246
17.20555556,1004.65,0.74,15.5848
15.63333333,1004.04,0.81,23.6992
13.57777778,1004.08,0.9,20.9622
10.91111111,1004.61,0.86,22.3951
8.8,1004.99,0.99,26.5006
8.961111111,1004.85,0.93,23.2162
8.2,1004.96,0.96,25.4219
7.688888889,1005.14,0.96,28.1267
